X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,FEATUREDES,NAME,ABB_NAME,ADDRESS,ZIPCODE,LONG_CEN,LAT_CEN,OSPI_CODE,SCH_CLASS,DISTRICT,PIN,MAJOR,MINOR
-122.22982054468,47.6214153011658,584,152,988985,664,School-Alternative,St. Thomas School,St. Thomas,8300 NE 12th St,98039,-122.22982221,47.62141332,0,20,BELLEVUE,2525049106,252504,9106
-122.16006329325,47.5259296818547,585,6600129,744669,660,School-Elementary,Newcastle Elementary School,Newcastle,8400 136th Ave SE,98059,-122.16006536,47.52592753,4592,10,ISSAQUAH,3424059034,342405,9034
-122.318493665246,47.6856591849271,586,963,835351,660,School-Elementary,Fairview Christian School,Fairview Christian,844 NE 78th St,98115,-122.31849506,47.68565737,0,20,SEATTLE,2464400730,246440,0730
-122.319914639278,47.6906173755629,587,981,12395,664,School-Alternative,St. Catherine of Siena Parish School,St. Catherine ,8524 8th Ave NE,98115,-122.31991601,47.69061557,0,20,SEATTLE,5100400125,510040,0125
-122.288004194126,47.611182809717,588,1081,443601,664,School-Alternative,St. Therese Catholic Academy,St. Therese,900 35th Ave,98122,-122.28800592,47.61118093,0,20,SEATTLE,9184700280,918470,0280
-122.31711116953,47.6106561768968,589,1079,448115,663,School-College or University,Seattle University,Seattle U,901 12th Ave,98122,-122.3171129,47.61065434,0,20,SEATTLE,2254500555,225450,0555
-122.387098883159,47.6948707375675,590,1012,12287,660,School-Elementary,North Beach Elementary School,North Beach,9018 24th Ave NW,98117,-122.38710024,47.69486907,3218,10,SEATTLE,3526039024,352603,9024
-122.217233495183,47.5716165002238,591,548,9278,662,School-High,Mercer Island High School,Mercer Island,9100 SE 42nd St,98040,-122.21723538,47.57161449,3029,10,MERCER ISLAND,1824059005,182405,9005
-122.218846737904,47.7598603890538,592,245,178050,662,School-High,Bothell High School,Bothell,9130 NE 180th St,98011,-122.21884778,47.75985845,3106,10,NORTHSHORE,0726059016,072605,9016
-122.335330656906,47.6168745760038,593,6600661,840697,660,School-Elementary,Spruce Street School,Spruce Street,914 Virginia St,98101,-122.33533236,47.61687277,0,20,SEATTLE,0660001365,066000,1365
-122.377602223615,47.6967519682223,594,1017,831688,661,School-Junior High/Middle,Whitman Middle School,Whitman,9201 15th Ave NW,98117,-122.37760357,47.69675028,3277,10,SEATTLE,3526039131,352603,9131
-122.217491015774,47.3183632645784,595,47,715263,664,School-Alternative,Green River Montessori School,Green River Montessori,922 12th St NE,98002,-122.21749424,47.31836125,0,20,AUBURN,3339900900,333990,0900
-122.452254750893,47.4276021249654,596,6600619,21169,660,School-Elementary,Chautauqua Elementary School,Chatauqua,9309 SW Cemetery Rd,98070,-122.45225737,47.42760047,4468,10,VASHON ISLAND,0522039067,052203,9067
-122.37492529341,47.5328394323735,597,1118,501095,660,School-Elementary,Roxhill Elementary School,Roxhill,7740 34th Ave SW,98126,-122.37492737,47.53283765,3157,10,SEATTLE,1932300245,193230,0245
-122.307624416138,47.6984381359195,598,977,258793,660,School-Elementary,Sacajawea Elementary School,Sacajawea,9501 20th Ave NE,98115,-122.30762576,47.69843631,3028,10,SEATTLE,8024202285,802420,2285
-122.456868054226,47.4231433236786,599,780,1060717,662,School-High,Vashon Island High School,Vashon Island,9600 SW 204th St,98070,-122.4568707,47.42314168,2419,10,VASHON ISLAND,0522039057,052203,9057
-122.211762926094,47.6312815388037,600,123,112995,660,School-Elementary,Clyde Hill Elementary School,Clyde Hill,9601 NE 24th St,98004,-122.21176454,47.63127952,2847,10,BELLEVUE,8086000305,808600,0305
-122.209533726463,47.7179697058189,601,508,8623,660,School-Elementary,Juanita Elementary School,Juanita,9635 NE 132nd St,98034,-122.20953495,47.7179677,2796,10,LAKE WASHINGTON,3026059039,302605,9039
-122.258635224928,47.5148208053568,602,1025,512278,660,School-Elementary,Emerson Elementary School,Emerson,9709 60th Ave S,98118,-122.25863738,47.51481887,2118,10,SEATTLE,7129302300,712930,2300
-122.208249489911,47.3860367223878,603,373,801991,660,School-Elementary,East Hill Elementary School,East Hill,9825 S 240th St,98031,-122.20825234,47.38603468,2851,10,KENT,1922059001,192205,9001
-122.295910931095,47.5380926953595,604,1179,461331,660,School-Elementary,Kimball Elementary School,Kimball ,7201 Beacon Ave S,98108,-122.29591298,47.53809081,3478,10,SEATTLE,5129000050,512900,0050
-122.060510279942,47.6681381694356,605,650,12140,661,School-Junior High/Middle,Evergreen Middle School,Evergreen,6900 208th Ave NE,98053,-122.06051161,47.6681359,4148,10,LAKE WASHINGTON,0825069008,082506,9008
-122.345515038463,47.4996995009896,606,10000078,520459,662,School-High,Evergreen High School,Evergreen,830 SW 116th St,98146,-122.34551726,47.49969766,0,10,HIGHLINE,0723049367,072304,9367
-122.27774570389,47.4358422313735,607,10000079,12237,662,School-High,Tyee High School,Tyee,4424 S 188th St,98188,-122.27774828,47.43584033,0,10,HIGHLINE,3423049044,342304,9044
-122.326154158165,47.421970824097,608,10000080,384279,664,School-Alternative,Maritime High School,Maritime,615 S 200th St,98198,-122.32615681,47.42196899,0,10,HIGHLINE,7893206625,789320,6625
-122.026935133164,47.5670476947079,609,10000081,1433876,660,School-Elementary,Cedar Trails Elementary,Cedar Trails,4399 Issaquah-Pine Lake Rd SE,98075,-122.02693694,47.56704527,0,10,ISSAQUAH,1524069026,152406,9026
-122.064606441093,47.5319341698857,610,10000082,,661,School-Junior High/Middle,Cougar Mountain Middle School,Cougar Mountain,1929 NW Talus Dr,98027,-122.06460843,47.5319318,0,10,ISSAQUAH,8562730170,856273,0170
