price,id
295000.0,7314
940000.0,4078
590000.0,2954
750000.0,10366
590000.0,609
530000.0,16419
579000.0,3390
1989000.0,14550
585000.0,7310
379500.0,1736
1185000.0,17177
808250.0,11559
931088.0,9244
1388000.0,16933
780000.0,20822
259950.0,5700
580000.0,2946
384000.0,9096
105000.0,14283
560000.0,15488
1140000.0,13418
445000.0,19394
235000.0,5039
660000.0,9251
570000.0,14310
570000.0,14605
269950.0,19451
548000.0,318
760000.0,16454
733000.0,17092
650000.0,4681
750000.0,10155
1195000.0,8047
380000.0,17509
560000.0,2778
670000.0,13842
310000.0,10154
399500.0,20856
495000.0,11747
459800.0,18224
277554.0,16223
265000.0,18419
365000.0,11987
1300000.0,10278
740000.0,1921
290000.0,18374
825000.0,11138
599000.0,12115
354000.0,4698
339275.0,17824
340000.0,7713
600000.0,11206
258000.0,5564
857000.0,11290
370000.0,19661
540000.0,2490
870000.0,11068
306500.0,20400
447000.0,19290
850000.0,11599
861111.0,21524
746000.0,19320
448000.0,10940
308000.0,3054
570000.0,15296
363000.0,7577
699950.0,5796
622000.0,4337
580000.0,16700
490000.0,1751
810000.0,6234
565000.0,7340
335000.0,14386
998000.0,3949
210000.0,5626
495000.0,1495
630000.0,5597
1590000.0,8540
575000.0,16368
469500.0,976
895000.0,20048
725000.0,10921
890000.0,2559
1468000.0,15347
715000.0,10601
324000.0,10933
340000.0,13308
2147500.0,18768
2100000.0,11278
1170000.0,11379
225000.0,698
200000.0,5882
720000.0,9326
870515.0,20309
245000.0,7789
410000.0,18538
731000.0,5957
485000.0,11743
355000.0,11660
670000.0,17373
820000.0,7914
529950.0,20413
3400000.0,10446
378500.0,7124
340000.0,15439
195000.0,11481
412000.0,4551
998000.0,14713
615000.0,15017
625000.0,19398
436110.0,19830
609000.0,14628
200000.0,3188
837000.0,20821
290000.0,17947
300000.0,7395
599950.0,12825
310000.0,10523
2050000.0,4406
542300.0,21112
640000.0,2491
480000.0,18334
537000.0,4294
947500.0,14187
735000.0,18024
715000.0,7045
1200000.0,7846
187000.0,16628
355000.0,5090
299950.0,9762
352000.0,15041
600000.0,10362
317000.0,8308
375000.0,4849
293000.0,1671
196500.0,966
439000.0,20364
475000.0,11515
268500.0,17086
230500.0,12486
447000.0,13484
238000.0,9489
792000.0,18357
1400000.0,1423
449228.0,9297
342500.0,11671
425000.0,9455
291375.0,12968
270000.0,8567
325000.0,13812
284000.0,8933
330000.0,15832
463500.0,2008
710000.0,12569
240000.0,1805
270000.0,13070
225000.0,9435
175000.0,17133
495000.0,21260
600000.0,11941
525000.0,20172
599950.0,9899
277000.0,7446
380000.0,20227
879950.0,20357
495000.0,13877
780000.0,6763
539000.0,20056
306000.0,19237
221000.0,11244
300000.0,21124
530000.0,11732
248500.0,12975
830000.0,2004
565000.0,18921
137124.0,9841
790000.0,10171
350000.0,16336
318500.0,3327
659000.0,8794
255000.0,6515
765000.0,13402
725000.0,7472
287000.0,12738
475000.0,13054
280000.0,5490
406650.0,2891
411100.0,6253
306000.0,9757
448175.0,9853
740000.0,14907
500000.0,11683
384000.0,7359
620000.0,11403
1265000.0,9176
310000.0,17116
185000.0,12014
450000.0,5800
250000.0,8331
475000.0,16337
451000.0,11469
280000.0,5474
480000.0,4331
385000.0,6730
255000.0,6843
1037000.0,13433
381000.0,13124
210000.0,16703
270000.0,10080
670000.0,6177
589000.0,18435
650000.0,9924
450000.0,9048
689800.0,3790
350000.0,12915
333500.0,10148
255000.0,11854
444000.0,13452
670000.0,15834
580000.0,20989
545000.0,13444
575000.0,5915
575000.0,16388
780000.0,8704
535000.0,1437
215000.0,6673
343000.0,20026
527700.0,141
622500.0,14281
226000.0,16040
1886700.0,13869
790000.0,11355
359000.0,6266
635000.0,15394
624500.0,13870
361000.0,809
972000.0,16897
340000.0,17482
500000.0,15938
122000.0,13413
275000.0,1678
285000.0,1102
739900.0,2458
398000.0,19919
235000.0,4403
438000.0,14440
562000.0,4348
387000.0,5753
190000.0,3101
575000.0,13609
355000.0,3582
327000.0,4496
675500.0,2834
350000.0,19884
540000.0,1631
308000.0,11012
530000.0,9990
750000.0,11711
470000.0,4784
355000.0,14301
341500.0,3889
576925.0,18122
470000.0,7104
640000.0,18701
664000.0,672
476000.0,16752
170000.0,12185
775000.0,21399
565000.0,19431
2125000.0,4339
370000.0,11345
405000.0,2746
608000.0,12547
236000.0,273
365000.0,7491
267000.0,15043
495000.0,6887
325000.0,14487
266000.0,4720
699000.0,13884
317500.0,14318
461000.0,20883
529100.0,12766
214000.0,636
310000.0,4047
250000.0,5140
845000.0,17721
1595000.0,17902
560000.0,7242
659950.0,20349
520000.0,10758
630000.0,21243
629000.0,9856
900000.0,1030
270000.0,10189
397000.0,18091
690000.0,20854
889000.0,15688
1150000.0,18957
220000.0,5183
